,Quote_dt,discount,Home_policy_ind,state_id,quoted_amt,Prior_carrier_grp,credit_score,Cov_package_type,CAT_zone,policy_id,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,total_number_veh,convert_ind,primary_parking
114,2017-06-25,No,N,FL,"$1,935",Carrier_8,717.0,Low,2.0,policy_15000,3,3,3,0,6,0.0,unknown
116,2015-03-20,No,N,NY,"$1,325",Carrier_8,814.0,Low,3.0,policy_84551,2,2,1,1,4,0.0,unknown
117,2015-07-22,Yes,Y,CT,"$1,016",Carrier_3,725.0,Low,1.0,policy_2737,1,1,1,1,3,1.0,unknown
118,2015-03-22,Yes,Y,FL,"$3,902",Carrier_5,653.0,Medium,2.0,policy_6837,1,0,1,0,1,0.0,home/driveway
119,2018-11-23,No,N,NJ,"$3,720",Carrier_5,627.0,Medium,2.0,policy_43743,1,1,2,1,4,0.0,unknown
121,2018-07-08,No,N,MN,"$9,165",Carrier_5,591.0,Medium,3.0,policy_35601,2,0,3,0,3,0.0,unknown
122,2015-10-31,No,N,NJ,"$8,285",Carrier_3,470.0,Medium,2.0,policy_61070,3,1,3,1,5,0.0,unknown
124,2016-09-12,No,N,FL,"$1,403",Carrier_1,724.0,Low,2.0,policy_16952,1,1,1,1,3,1.0,street
125,2018-12-28,No,N,NY,"$2,131",Carrier_1,688.0,Medium,2.0,policy_65298,1,1,1,0,2,0.0,home/driveway
126,2016-04-23,No,N,FL,"$1,720",Carrier_5,779.0,Low,5.0,policy_20737,1,3,2,0,5,0.0,unknown
128,2016-05-08,Yes,Y,GA,"$18,315",Carrier_8,607.0,Medium,1.0,policy_31140,1,0,2,0,2,1.0,unknown
129,2015-12-18,No,N,WI,"$19,464",Other,593.0,High,1.0,policy_96697,3,1,2,0,3,0.0,unknown
130,2018-06-11,No,N,NY,"$4,140",Carrier_6,597.0,Medium,2.0,policy_74937,3,2,1,0,3,0.0,parking garage
132,2018-12-16,No,N,MN,"$1,387",Carrier_5,739.0,Medium,3.0,policy_37886,1,0,2,0,2,0.0,unknown
134,2015-12-07,No,N,NJ,"$4,670",Carrier_1,652.0,Low,1.0,policy_56755,1,1,1,1,3,0.0,parking garage
135,2015-05-27,No,N,NY,"$10,724",Carrier_1,563.0,Medium,2.0,policy_87478,3,1,1,2,4,0.0,parking garage
136,2016-08-28,No,N,NY,"$5,840",Carrier_8,732.0,Low,1.0,policy_82048,1,3,3,0,6,0.0,home/driveway
138,2015-04-16,No,N,NY,"$5,145",Carrier_1,699.0,Medium,3.0,policy_86511,3,1,1,1,3,0.0,unknown
140,2017-08-24,No,N,WI,"$11,693",Carrier_2,550.0,High,1.0,policy_99046,3,1,1,2,4,0.0,home/driveway
141,2016-02-29,No,N,NJ,"$5,222",Carrier_6,656.0,Low,3.0,policy_49969,2,1,2,0,3,0.0,unknown
142,2016-07-24,No,N,NJ,"$1,445",Carrier_3,714.0,High,5.0,policy_43183,1,1,2,1,4,1.0,unknown
146,2016-07-10,No,N,NY,"$7,991",Carrier_1,574.0,High,1.0,policy_73983,3,2,1,0,3,0.0,unknown
147,2015-03-12,No,N,CT,"$4,698",Carrier_1,626.0,Low,2.0,policy_3028,2,3,1,1,5,0.0,unknown
149,2015-02-25,No,N,MN,$891,Carrier_8,789.0,Low,2.0,policy_36588,2,1,3,1,5,0.0,unknown
150,2015-02-11,No,N,WI,"$10,345",Carrier_2,628.0,High,4.0,policy_96634,1,0,3,0,3,0.0,unknown
152,2016-12-15,No,N,FL,"$1,152",Carrier_5,707.0,Medium,1.0,policy_27458,3,3,2,1,6,0.0,unknown
153,2015-12-16,No,N,FL,"$3,300",Carrier_8,659.0,Medium,3.0,policy_8636,2,2,1,1,4,1.0,unknown
154,2015-03-06,No,N,FL,"$7,045",Carrier_1,564.0,High,1.0,policy_8387,1,0,2,0,2,0.0,home/driveway
155,2018-08-21,No,N,CT,"$4,958",Carrier_3,652.0,Medium,3.0,policy_5799,3,2,1,0,3,1.0,unknown
156,2018-07-28,Yes,Y,NJ,"$5,629",Carrier_3,673.0,Low,1.0,policy_58093,2,2,3,0,5,1.0,street
157,2016-10-22,No,N,NY,"$5,097",Carrier_5,623.0,High,1.0,policy_92185,1,2,1,1,4,1.0,parking garage
160,2018-08-27,No,N,NY,"$9,445",Other,597.0,High,5.0,policy_86061,5,0,1,2,3,1.0,unknown
162,2015-03-07,No,N,CT,"$1,870",Carrier_7,750.0,High,4.0,policy_2378,1,3,1,0,4,0.0,home/driveway
163,2015-03-27,No,N,WI,"$6,763",Carrier_1,516.0,Medium,5.0,policy_99861,6,0,2,0,2,0.0,unknown
168,2016-09-15,No,N,NJ,"$2,647",Carrier_5,652.0,Medium,2.0,policy_57184,1,1,1,0,2,0.0,unknown
169,2015-08-11,No,N,NY,"$4,870",Carrier_5,639.0,High,5.0,policy_95133,3,0,2,1,3,0.0,home/driveway
171,2015-11-01,Yes,Y,WI,"$21,856",Carrier_7,520.0,Low,2.0,policy_97513,1,3,1,1,5,0.0,unknown
172,2015-11-08,No,N,GA,"$5,035",Carrier_1,667.0,Low,1.0,policy_34625,4,1,3,0,4,0.0,unknown
174,2017-06-16,No,N,NJ,"$3,938",Carrier_6,686.0,Medium,2.0,policy_57287,2,2,2,0,4,1.0,unknown
175,2018-06-23,No,N,WI,"$17,390",Carrier_6,496.0,High,5.0,policy_97893,3,2,2,0,4,0.0,parking garage
177,2015-09-11,No,N,FL,"$2,517",Carrier_1,701.0,High,5.0,policy_10860,1,1,3,0,4,0.0,home/driveway
180,2016-12-21,Yes,Y,AL,"$24,143",Carrier_5,549.0,High,5.0,policy_251,2,0,1,1,2,0.0,home/driveway
183,2018-06-05,No,N,NJ,"$5,532",Carrier_5,574.0,Medium,3.0,policy_53493,3,1,3,1,5,0.0,unknown
185,2015-12-24,No,N,WI,"$10,533",Carrier_6,541.0,Medium,4.0,policy_97727,3,2,2,1,5,0.0,unknown
186,2018-10-12,No,N,NY,"$3,081",Carrier_8,606.0,Medium,2.0,policy_92331,3,1,1,0,2,0.0,unknown
187,2015-07-03,No,N,WI,"$19,429",Carrier_4,561.0,High,5.0,policy_99129,3,2,1,0,3,0.0,home/driveway
189,2015-01-17,Yes,Y,NY,"$3,952",Carrier_2,689.0,Low,2.0,policy_79513,3,2,2,0,4,0.0,unknown
190,2018-02-06,No,N,CT,"$3,961",Carrier_3,672.0,High,4.0,policy_4979,2,1,2,1,4,0.0,home/driveway
191,2015-11-22,No,N,NY,"$4,693",Carrier_1,577.0,High,5.0,policy_93075,1,1,1,0,2,0.0,unknown
192,2016-11-23,No,N,NJ,"$1,749",Carrier_4,789.0,Low,1.0,policy_51853,1,2,1,0,3,0.0,home/driveway
193,2016-11-27,Yes,Y,NY,"$2,008",Carrier_6,610.0,Medium,2.0,policy_90834,1,1,2,0,3,0.0,home/driveway
196,2016-11-01,Yes,Y,FL,"$2,629",Carrier_5,667.0,Low,2.0,policy_16476,1,1,2,1,4,0.0,home/driveway
197,2015-12-16,No,N,MN,"$1,453",Carrier_5,777.0,Low,1.0,policy_38329,3,1,2,2,5,0.0,unknown
198,2015-10-05,Yes,N,AL,"$8,291",Carrier_2,545.0,Low,2.0,policy_776,6,2,1,1,4,0.0,unknown
200,2016-06-09,No,N,NY,"$13,867",Carrier_1,676.0,High,5.0,policy_80408,2,2,2,2,6,0.0,unknown
201,2018-02-04,No,N,MN,"$1,180",Carrier_1,740.0,Low,2.0,policy_38820,2,1,3,0,4,0.0,unknown
202,2018-12-29,No,N,NY,"$9,557",Carrier_6,597.0,Medium,4.0,policy_78210,5,2,1,1,4,0.0,parking garage
204,2018-07-11,No,N,CT,"$1,662",Carrier_3,762.0,Medium,2.0,policy_6272,2,3,3,1,7,0.0,unknown
205,2016-01-11,Yes,Y,FL,"$2,244",Carrier_7,653.0,Low,1.0,policy_21608,3,0,1,1,2,0.0,unknown
206,2018-11-28,No,N,NY,"$6,656",Carrier_8,570.0,High,4.0,policy_79913,1,1,1,0,2,0.0,unknown
208,2018-04-17,No,N,FL,"$4,514",Carrier_5,629.0,High,5.0,policy_11580,1,1,1,0,2,0.0,unknown
209,2016-09-05,No,N,FL,"$2,966",Other,676.0,Medium,3.0,policy_9009,1,1,1,0,2,1.0,unknown
210,2016-01-04,No,N,FL,"$2,489",Carrier_7,657.0,Medium,2.0,policy_24778,2,1,1,1,3,0.0,home/driveway
213,2018-05-19,No,N,CT,"$2,765",Carrier_2,692.0,Medium,1.0,policy_5937,5,3,1,1,5,0.0,home/driveway
214,2015-11-29,No,N,FL,"$1,005",Carrier_7,742.0,Medium,2.0,policy_14822,1,1,2,0,3,0.0,home/driveway
215,2018-10-18,No,N,MN,"$1,714",Carrier_5,689.0,Medium,2.0,policy_39801,1,2,1,0,3,1.0,unknown
217,2015-01-05,No,N,NY,"$4,687",Carrier_4,679.0,Medium,1.0,policy_79388,2,1,3,0,4,0.0,home/driveway
218,2017-08-27,No,N,NY,"$1,461",Carrier_8,671.0,Low,1.0,policy_74588,3,3,2,1,6,0.0,unknown
219,2016-03-26,No,N,MN,"$2,909",Carrier_5,657.0,Low,2.0,policy_39740,2,2,1,0,3,0.0,unknown
221,2018-02-24,No,N,NJ,$863,Carrier_5,774.0,Medium,3.0,policy_54070,3,2,2,1,5,0.0,unknown
224,2018-03-23,No,N,NJ,"$2,169",Carrier_1,706.0,Medium,1.0,policy_58625,3,1,3,0,4,0.0,unknown
226,2016-07-01,No,N,MN,"$1,162",Carrier_1,769.0,Medium,5.0,policy_35247,2,2,1,1,4,0.0,unknown
227,2016-01-13,No,N,NJ,"$2,913",Carrier_4,670.0,Low,1.0,policy_41041,3,3,1,0,4,0.0,home/driveway
229,2018-07-24,Yes,Y,NJ,"$1,943",Carrier_4,790.0,Low,2.0,policy_51100,2,1,2,0,3,0.0,unknown
230,2015-07-29,No,N,WI,"$28,906",Carrier_1,610.0,Medium,5.0,policy_96748,3,0,1,0,1,0.0,parking garage
234,2018-10-04,No,N,FL,"$1,966",Carrier_2,776.0,Low,4.0,policy_20629,1,1,1,0,2,0.0,parking garage
239,2015-08-31,Yes,Y,NJ,"$1,487",Carrier_1,730.0,Low,3.0,policy_54087,2,2,1,0,3,0.0,parking garage
240,2018-06-21,No,N,WI,"$14,186",Carrier_2,578.0,High,2.0,policy_99672,1,0,1,0,1,0.0,home/driveway
243,2016-05-01,Yes,Y,GA,"$38,069",Carrier_2,539.0,High,5.0,policy_32055,1,2,3,0,5,0.0,unknown
244,2016-10-24,No,N,NY,"$4,064",Carrier_8,635.0,Medium,4.0,policy_75857,2,1,2,0,3,0.0,unknown
245,2016-03-28,No,N,AL,"$13,626",Carrier_1,533.0,High,5.0,policy_874,3,2,3,1,6,0.0,home/driveway
246,2017-08-02,No,N,NY,"$2,620",Carrier_5,655.0,Medium,3.0,policy_62542,2,3,2,1,6,0.0,home/driveway
249,2017-06-09,No,N,FL,"$2,914",Carrier_7,616.0,Low,1.0,policy_21504,3,0,2,2,4,0.0,unknown
250,2015-05-19,Yes,N,NJ,$195,Carrier_5,776.0,Medium,1.0,policy_43380,3,0,1,1,2,0.0,unknown
251,2018-09-10,No,N,NJ,"$4,206",Carrier_5,603.0,Medium,3.0,policy_53517,4,2,2,0,4,0.0,parking garage
252,2015-12-03,Yes,Y,CT,"$1,755",Other,727.0,Low,2.0,policy_5880,2,0,1,1,2,0.0,unknown
254,2018-07-16,Yes,N,NY,"$4,101",Carrier_1,710.0,High,2.0,policy_94864,1,2,2,0,4,0.0,unknown
255,2016-10-03,No,N,FL,"$3,124",Carrier_8,642.0,Low,2.0,policy_8146,2,3,2,0,5,0.0,parking garage
256,2017-10-08,No,N,NY,"$1,540",Carrier_1,743.0,Low,2.0,policy_72065,5,3,2,1,6,0.0,street
257,2018-07-10,No,N,NY,"$8,070",Carrier_8,513.0,High,2.0,policy_78005,2,1,3,2,6,1.0,unknown
258,2015-08-23,No,N,NJ,"$4,062",Carrier_6,677.0,Medium,2.0,policy_52460,5,1,1,0,2,0.0,unknown
259,2018-09-28,No,N,NY,"$9,047",Carrier_8,553.0,High,5.0,policy_77068,2,2,1,1,4,0.0,home/driveway
264,2015-05-29,No,N,NY,"$4,626",Carrier_5,653.0,Low,3.0,policy_69444,2,0,3,1,4,0.0,unknown
266,2015-07-13,No,N,NY,"$4,730",Carrier_3,606.0,Medium,5.0,policy_90594,3,1,1,0,2,0.0,street
268,2016-12-04,No,N,FL,"$1,754",Carrier_5,712.0,Low,1.0,policy_22437,2,0,1,0,1,1.0,street
269,2015-02-25,No,N,NJ,"$3,279",Carrier_8,667.0,Low,1.0,policy_57925,1,2,1,0,3,0.0,unknown
270,2015-05-30,No,N,NY,"$2,141",Carrier_6,642.0,Medium,3.0,policy_75046,1,2,1,0,3,0.0,unknown
272,2017-02-26,No,N,NY,"$5,485",Carrier_5,669.0,High,5.0,policy_71583,2,1,1,0,2,0.0,unknown
275,2018-07-31,No,N,NY,"$6,044",Carrier_1,516.0,High,1.0,policy_65587,2,0,1,0,1,0.0,unknown
277,2015-12-15,No,N,FL,"$4,024",Carrier_8,682.0,High,4.0,policy_7148,1,1,2,2,5,1.0,unknown
280,2018-08-18,No,N,FL,"$5,321",Carrier_1,682.0,Medium,3.0,policy_25716,2,2,1,0,3,0.0,unknown
281,2017-01-24,No,N,MN,$851,Carrier_6,771.0,High,5.0,policy_38568,6,1,2,1,4,0.0,unknown
283,2015-11-20,No,N,NY,"$7,888",Carrier_1,569.0,High,4.0,policy_93865,1,1,1,2,4,0.0,unknown
287,2016-02-15,No,N,NJ,"$1,313",Carrier_5,802.0,Low,2.0,policy_60323,2,3,2,1,6,0.0,unknown
288,2015-05-29,No,N,NJ,"$2,017",Carrier_6,717.0,Low,2.0,policy_40754,2,2,1,1,4,1.0,unknown
290,2016-09-29,No,N,NY,"$4,993",Carrier_6,676.0,High,5.0,policy_78256,2,1,2,0,3,0.0,unknown
291,2016-10-28,Yes,N,NY,"$4,405",Carrier_5,626.0,Medium,2.0,policy_68532,2,2,1,2,5,0.0,unknown
292,2016-11-29,No,N,NY,"$3,139",Carrier_8,643.0,Medium,2.0,policy_87087,2,1,2,1,4,1.0,unknown
294,2015-03-02,Yes,Y,WI,"$1,844",Carrier_7,711.0,Medium,2.0,policy_99318,5,2,1,0,3,0.0,unknown
296,2015-09-09,No,N,FL,"$3,710",Carrier_8,694.0,Medium,1.0,policy_26535,1,0,1,1,2,0.0,home/driveway
297,2016-01-01,Yes,N,FL,"$6,829",Carrier_5,611.0,Medium,3.0,policy_29118,1,1,1,1,3,0.0,unknown
298,2015-07-12,No,N,NY,"$5,255",Other,657.0,Medium,3.0,policy_75272,2,1,1,1,3,0.0,home/driveway
299,2015-03-25,Yes,Y,FL,"$5,176",Carrier_2,631.0,Medium,4.0,policy_11559,1,2,1,0,3,0.0,home/driveway
300,2016-04-21,No,N,NJ,"$2,009",Carrier_4,688.0,Medium,4.0,policy_50658,4,2,1,0,3,0.0,unknown
303,2018-03-22,No,N,NJ,"$1,802",Carrier_5,797.0,Low,1.0,policy_43341,3,3,3,0,6,0.0,street
305,2016-12-16,Yes,N,FL,"$2,155",Carrier_8,611.0,Low,2.0,policy_26664,1,1,1,0,2,1.0,home/driveway
306,2018-04-25,Yes,Y,NJ,"$1,031",Carrier_1,767.0,Medium,3.0,policy_51856,4,1,1,1,3,0.0,unknown
307,2016-05-23,No,N,NY,"$4,221",Carrier_8,654.0,Medium,3.0,policy_94978,1,1,1,1,3,1.0,unknown
308,2017-09-29,No,N,NJ,"$3,538",Carrier_1,730.0,Low,1.0,policy_52803,2,2,1,0,3,0.0,unknown
309,2017-06-16,No,N,NJ,"$3,625",Carrier_3,699.0,Medium,1.0,policy_57956,2,2,2,0,4,0.0,unknown
310,2017-09-04,No,N,NY,"$5,720",Carrier_5,636.0,High,1.0,policy_65061,1,0,3,0,3,0.0,unknown
311,2016-08-06,No,N,NY,"$1,253",Carrier_6,792.0,Low,1.0,policy_92951,1,2,2,0,4,0.0,unknown
313,2015-02-15,No,N,NY,"$4,111",Carrier_5,683.0,Low,2.0,policy_64221,1,1,2,0,3,0.0,home/driveway
314,2016-09-22,No,N,NY,"$7,444",Carrier_3,559.0,Medium,1.0,policy_70381,2,1,1,0,2,0.0,unknown
315,2015-06-19,Yes,Y,WI,"$18,590",Carrier_8,489.0,High,1.0,policy_95655,3,2,1,1,4,0.0,home/driveway
317,2018-07-14,No,N,NY,"$6,352",Carrier_4,546.0,High,4.0,policy_61849,2,2,1,0,3,0.0,unknown
319,2016-07-26,No,N,NY,"$7,629",Carrier_6,525.0,High,5.0,policy_88672,3,2,3,2,7,0.0,unknown
323,2017-08-29,No,N,FL,"$6,549",Carrier_6,580.0,High,5.0,policy_11627,2,3,3,0,6,0.0,unknown
325,2015-08-29,No,N,FL,"$4,080",Carrier_5,622.0,High,5.0,policy_17106,2,1,1,0,2,0.0,unknown
326,2018-10-02,Yes,N,NY,"$4,513",Carrier_8,657.0,Medium,5.0,policy_90625,1,2,3,2,7,0.0,unknown
327,2018-05-16,Yes,N,FL,"$2,264",Carrier_2,656.0,Medium,2.0,policy_25930,5,1,2,0,3,0.0,unknown
329,2015-03-21,Yes,N,NY,"$10,711",Carrier_6,523.0,Medium,2.0,policy_65309,1,2,1,1,4,0.0,unknown
331,2015-08-28,No,N,NY,"$10,175",Carrier_5,562.0,High,5.0,policy_81729,2,2,1,0,3,0.0,unknown
334,2018-05-02,No,N,NY,"$4,915",Carrier_8,663.0,Medium,2.0,policy_89944,2,2,1,2,5,0.0,parking garage
336,2018-09-03,No,N,NY,"$3,071",Carrier_5,616.0,Medium,2.0,policy_80918,1,1,1,0,2,0.0,unknown
337,2015-09-21,Yes,Y,NY,"$7,710",Carrier_8,575.0,Medium,2.0,policy_81910,1,1,1,1,3,0.0,parking garage
338,2018-06-02,No,N,MN,"$2,948",Carrier_1,663.0,Medium,4.0,policy_36311,2,1,2,0,3,0.0,unknown
339,2016-08-15,Yes,Y,WI,"$27,837",Carrier_7,526.0,High,4.0,policy_98652,3,1,2,0,3,0.0,unknown
340,2015-03-03,No,N,NJ,"$2,355",Carrier_4,632.0,Medium,2.0,policy_51723,1,2,1,0,3,0.0,unknown
