,policy_id,gender,living_status,age,safty_rating,high_education_ind
193,policy_94,M,own,38,83.0,1.0
194,policy_94,F,own,42,44.0,1.0
195,policy_94,F,dependent,16,75.0,0.0
204,policy_99,M,own,43,62.0,1.0
205,policy_99,M,dependent,18,68.0,0.0
206,policy_100,F,own,50,75.0,1.0
207,policy_100,M,dependent,17,76.0,0.0
208,policy_101,M,own,38,86.0,1.0
209,policy_101,F,dependent,19,68.0,0.0
213,policy_104,M,rent,35,90.0,1.0
214,policy_104,M,rent,42,70.0,1.0
215,policy_105,M,own,70,92.0,1.0
216,policy_105,F,dependent,18,56.0,0.0
217,policy_105,F,dependent,20,18.0,0.0
218,policy_106,F,own,43,84.0,0.0
219,policy_107,M,rent,43,89.0,1.0
220,policy_107,M,rent,42,79.0,1.0
221,policy_108,F,own,61,85.0,0.0
222,policy_108,M,own,69,85.0,1.0
224,policy_110,M,rent,50,62.0,0.0
225,policy_110,F,rent,62,78.0,1.0
230,policy_113,F,own,44,62.0,0.0
231,policy_113,F,own,37,77.0,1.0
234,policy_115,M,own,46,67.0,1.0
235,policy_115,M,own,47,82.0,1.0
237,policy_117,F,rent,60,65.0,0.0
238,policy_117,F,rent,34,61.0,1.0
242,policy_121,F,own,73,96.0,1.0
243,policy_122,F,own,43,22.0,1.0
244,policy_122,F,dependent,18,37.0,0.0
246,policy_124,M,rent,43,56.0,1.0
247,policy_124,F,rent,52,71.0,1.0
248,policy_124,F,dependent,17,71.0,0.0
252,policy_127,F,own,36,76.0,0.0
253,policy_128,M,rent,59,73.0,0.0
254,policy_128,F,dependent,17,75.0,0.0
257,policy_130,M,rent,30,72.0,1.0
258,policy_130,F,dependent,19,62.0,0.0
259,policy_131,F,own,57,88.0,1.0
260,policy_131,F,own,50,83.0,1.0
261,policy_131,F,dependent,20,64.0,0.0
262,policy_131,F,dependent,17,68.0,0.0
263,policy_131,F,dependent,17,77.0,0.0
264,policy_132,M,rent,53,66.0,1.0
265,policy_133,F,own,56,76.0,1.0
266,policy_133,F,own,45,71.0,1.0
267,policy_134,F,own,40,84.0,1.0
268,policy_134,M,dependent,18,84.0,0.0
269,policy_135,M,rent,78,75.0,1.0
270,policy_135,M,dependent,21,69.0,1.0
271,policy_136,M,rent,69,73.0,1.0
272,policy_136,F,rent,67,64.0,1.0
273,policy_136,M,dependent,18,65.0,0.0
274,policy_137,M,own,48,87.0,1.0
275,policy_137,F,own,65,85.0,1.0
279,policy_139,F,rent,63,77.0,0.0
281,policy_141,F,own,41,89.0,0.0
282,policy_142,F,rent,56,89.0,0.0
283,policy_142,F,rent,53,83.0,1.0
285,policy_144,F,own,47,71.0,1.0
286,policy_144,F,own,74,64.0,1.0
294,policy_147,M,own,53,82.0,1.0
295,policy_148,F,own,42,63.0,1.0
296,policy_149,M,rent,49,75.0,0.0
297,policy_149,M,rent,47,71.0,1.0
301,policy_151,M,own,42,87.0,1.0
311,policy_156,M,rent,44,61.0,1.0
312,policy_156,F,rent,48,74.0,0.0
316,policy_158,M,own,42,81.0,1.0
317,policy_158,F,dependent,17,55.0,0.0
318,policy_159,M,own,40,86.0,1.0
319,policy_160,F,rent,50,78.0,1.0
320,policy_161,F,rent,63,80.0,1.0
321,policy_162,F,rent,49,72.0,0.0
322,policy_162,M,rent,55,48.0,0.0
323,policy_162,M,dependent,18,74.0,0.0
327,policy_164,M,own,54,62.0,0.0
328,policy_165,M,own,54,81.0,0.0
329,policy_165,M,dependent,17,72.0,0.0
330,policy_166,M,own,44,69.0,0.0
343,policy_171,M,dependent,17,44.0,0.0
344,policy_172,M,rent,28,54.0,0.0
345,policy_172,F,rent,45,88.0,1.0
360,policy_179,M,own,37,89.0,0.0
361,policy_179,M,own,72,89.0,1.0
362,policy_179,F,dependent,17,62.0,0.0
363,policy_179,F,dependent,18,57.0,0.0
364,policy_179,M,dependent,18,71.0,0.0
365,policy_179,F,dependent,17,65.0,0.0
367,policy_181,F,own,52,64.0,0.0
368,policy_181,F,own,63,69.0,1.0
369,policy_182,M,own,58,57.0,0.0
370,policy_182,F,dependent,23,76.0,0.0
371,policy_182,F,dependent,17,74.0,0.0
378,policy_186,M,own,27,83.0,0.0
379,policy_186,F,own,51,64.0,1.0
381,policy_188,F,own,49,71.0,1.0
388,policy_192,M,own,58,75.0,0.0
389,policy_192,F,own,38,76.0,1.0
390,policy_192,F,dependent,19,33.0,0.0
391,policy_192,F,dependent,18,60.0,0.0
392,policy_192,M,dependent,17,71.0,0.0
393,policy_193,M,rent,44,86.0,1.0
394,policy_193,F,rent,56,86.0,0.0
395,policy_193,M,dependent,17,58.0,0.0
396,policy_193,F,dependent,17,71.0,0.0
404,policy_197,M,dependent,17,82.0,0.0
405,policy_198,F,rent,51,69.0,1.0
406,policy_198,F,dependent,19,72.0,0.0
407,policy_198,F,dependent,17,62.0,0.0
408,policy_199,M,own,55,33.0,1.0
409,policy_199,M,own,48,58.0,0.0
410,policy_199,F,dependent,17,58.0,0.0
411,policy_200,F,rent,61,87.0,1.0
412,policy_201,M,rent,46,76.0,0.0
413,policy_201,M,rent,32,79.0,1.0
414,policy_201,F,dependent,17,35.0,0.0
419,policy_205,M,own,44,74.0,0.0
420,policy_205,F,own,49,80.0,0.0
421,policy_206,M,dependent,18,61.0,0.0
424,policy_208,M,own,57,81.0,0.0
425,policy_209,M,rent,56,85.0,1.0
426,policy_209,M,dependent,17,74.0,0.0
427,policy_209,M,dependent,18,37.0,0.0
430,policy_211,F,own,41,72.0,1.0
431,policy_211,F,own,62,92.0,1.0
436,policy_214,F,rent,34,91.0,0.0
437,policy_215,F,rent,40,94.0,0.0
438,policy_215,F,rent,40,77.0,0.0
441,policy_217,M,rent,58,82.0,0.0
442,policy_218,M,own,32,78.0,1.0
443,policy_218,F,dependent,17,84.0,0.0
444,policy_219,M,own,51,87.0,0.0
445,policy_219,F,own,43,75.0,1.0
446,policy_219,F,dependent,18,69.0,0.0
447,policy_219,M,dependent,18,55.0,0.0
448,policy_219,M,dependent,20,25.0,0.0
449,policy_220,M,rent,55,76.0,1.0
450,policy_220,F,rent,43,86.0,1.0
451,policy_220,F,dependent,17,70.0,0.0
452,policy_221,M,rent,63,98.0,0.0
459,policy_225,F,own,54,82.0,0.0
460,policy_226,M,own,47,86.0,1.0
461,policy_226,F,own,45,48.0,1.0
462,policy_227,M,rent,44,52.0,0.0
463,policy_227,F,rent,41,91.0,1.0
464,policy_227,M,dependent,19,71.0,0.0
465,policy_228,F,own,68,87.0,0.0
466,policy_229,M,own,44,74.0,1.0
467,policy_229,F,dependent,20,4.0,0.0
468,policy_229,M,dependent,17,73.0,0.0
470,policy_231,F,own,52,49.0,1.0
472,policy_233,M,own,58,60.0,1.0
473,policy_233,F,own,45,83.0,1.0
476,policy_235,F,own,59,76.0,0.0
477,policy_236,F,own,46,84.0,0.0
478,policy_237,M,own,40,79.0,1.0
479,policy_238,M,own,34,55.0,1.0
480,policy_238,F,own,39,99.0,1.0
481,policy_238,F,dependent,19,37.0,0.0
482,policy_238,F,dependent,19,89.0,0.0
483,policy_239,F,own,83,82.0,0.0
485,policy_241,F,own,53,85.0,1.0
486,policy_242,F,own,55,59.0,1.0
488,policy_244,M,rent,56,70.0,0.0
489,policy_244,F,rent,27,64.0,1.0
493,policy_246,F,rent,44,74.0,1.0
494,policy_247,M,own,73,77.0,0.0
495,policy_247,F,own,63,96.0,1.0
498,policy_249,M,rent,53,64.0,0.0
499,policy_249,F,rent,43,87.0,1.0
500,policy_250,F,own,47,46.0,1.0
501,policy_251,M,rent,48,84.0,0.0
502,policy_251,F,dependent,19,73.0,0.0
505,policy_253,F,rent,44,88.0,0.0
506,policy_253,F,rent,43,61.0,1.0
507,policy_253,F,dependent,21,57.0,1.0
508,policy_254,M,rent,55,74.0,1.0
509,policy_254,M,rent,41,89.0,1.0
510,policy_254,M,dependent,17,47.0,0.0
511,policy_255,M,own,64,90.0,1.0
512,policy_255,M,own,30,93.0,1.0
515,policy_258,M,own,47,41.0,0.0
516,policy_258,F,own,53,82.0,0.0
521,policy_260,M,own,43,72.0,1.0
525,policy_262,F,rent,92,81.0,1.0
526,policy_262,M,rent,42,85.0,0.0
527,policy_263,M,rent,37,88.0,1.0
534,policy_266,F,rent,59,86.0,0.0
536,policy_268,M,own,71,65.0,1.0
544,policy_273,M,rent,57,34.0,1.0
545,policy_273,M,rent,34,70.0,1.0
546,policy_273,F,dependent,16,72.0,0.0
547,policy_273,M,dependent,21,63.0,1.0
548,policy_274,M,own,46,96.0,0.0
549,policy_275,M,rent,39,90.0,1.0
550,policy_275,F,dependent,17,60.0,0.0
551,policy_275,F,dependent,20,78.0,0.0
552,policy_276,F,own,81,78.0,0.0
556,policy_279,F,rent,43,79.0,0.0
557,policy_280,M,rent,41,83.0,1.0
558,policy_280,M,rent,36,74.0,0.0
559,policy_280,F,dependent,18,74.0,0.0
560,policy_280,M,dependent,19,45.0,0.0
564,policy_284,F,own,49,73.0,1.0
565,policy_285,F,own,41,70.0,1.0
573,policy_290,M,own,43,77.0,1.0
574,policy_291,F,dependent,18,53.0,0.0
575,policy_292,M,rent,63,81.0,0.0
581,policy_295,F,own,74,62.0,1.0
582,policy_296,M,rent,42,82.0,1.0
583,policy_297,F,rent,57,87.0,1.0
584,policy_297,F,dependent,16,72.0,0.0
585,policy_297,F,dependent,20,74.0,0.0
586,policy_298,M,own,59,99.0,0.0
587,policy_298,M,own,64,75.0,1.0
588,policy_298,M,dependent,17,76.0,0.0
589,policy_298,M,dependent,18,79.0,0.0
590,policy_298,F,dependent,17,42.0,0.0
596,policy_301,M,rent,52,80.0,0.0
602,policy_304,M,own,66,86.0,0.0
603,policy_304,F,dependent,20,49.0,0.0
604,policy_304,M,dependent,18,59.0,0.0
605,policy_304,M,dependent,19,72.0,0.0
606,policy_305,M,own,38,87.0,0.0
607,policy_305,F,own,47,94.0,1.0
608,policy_305,M,dependent,17,68.0,0.0
609,policy_306,M,own,51,72.0,0.0
610,policy_306,M,own,60,85.0,1.0
611,policy_307,F,rent,31,79.0,1.0
617,policy_310,F,rent,33,94.0,1.0
618,policy_310,F,rent,43,70.0,0.0
619,policy_311,F,dependent,16,59.0,0.0
620,policy_312,M,rent,38,87.0,1.0
621,policy_312,F,dependent,16,54.0,0.0
622,policy_313,M,own,33,85.0,1.0
623,policy_314,M,own,60,82.0,1.0
624,policy_314,M,own,55,87.0,1.0
625,policy_314,F,dependent,17,65.0,0.0
626,policy_314,M,dependent,18,86.0,0.0
627,policy_314,F,dependent,17,78.0,0.0
628,policy_315,F,own,41,60.0,1.0
629,policy_315,F,own,40,89.0,0.0
630,policy_315,M,dependent,19,72.0,0.0
633,policy_317,F,own,62,70.0,1.0
637,policy_320,M,own,55,66.0,0.0
638,policy_320,F,own,51,24.0,1.0
643,policy_323,M,rent,49,78.0,0.0
644,policy_323,F,rent,36,80.0,1.0
645,policy_324,M,dependent,18,43.0,0.0
649,policy_328,F,rent,40,59.0,0.0
652,policy_330,M,rent,51,61.0,0.0
653,policy_330,F,rent,39,79.0,1.0
654,policy_331,M,own,53,72.0,1.0
655,policy_331,F,own,50,80.0,1.0
658,policy_333,F,own,54,80.0,1.0
659,policy_334,F,rent,56,62.0,1.0
660,policy_334,F,rent,45,77.0,0.0
664,policy_336,M,rent,38,66.0,1.0
668,policy_338,M,dependent,17,71.0,0.0
679,policy_342,M,rent,43,50.0,1.0
680,policy_342,M,rent,54,51.0,1.0
681,policy_342,M,dependent,19,33.0,0.0
682,policy_343,M,rent,59,57.0,1.0
683,policy_343,M,rent,46,56.0,1.0
684,policy_343,F,dependent,18,86.0,0.0
685,policy_343,F,dependent,18,71.0,0.0
687,policy_345,M,own,40,44.0,1.0
688,policy_345,F,dependent,17,36.0,0.0
689,policy_345,M,dependent,17,80.0,0.0
690,policy_345,M,dependent,17,63.0,0.0
691,policy_346,F,own,61,92.0,1.0
692,policy_346,F,own,37,65.0,1.0
693,policy_346,F,dependent,18,82.0,0.0
694,policy_347,M,own,35,80.0,0.0
695,policy_347,F,dependent,18,41.0,0.0
696,policy_347,M,dependent,20,36.0,0.0
699,policy_349,M,own,79,84.0,0.0
700,policy_349,F,dependent,17,37.0,0.0
701,policy_349,M,dependent,19,88.0,0.0
702,policy_350,M,rent,40,86.0,1.0
703,policy_350,M,rent,43,81.0,1.0
704,policy_350,M,dependent,18,29.0,0.0
705,policy_350,F,dependent,18,29.0,0.0
706,policy_350,M,dependent,16,55.0,0.0
712,policy_353,F,own,49,58.0,1.0
715,policy_356,M,own,66,47.0,1.0
716,policy_356,F,own,40,70.0,1.0
726,policy_361,M,rent,64,88.0,1.0
727,policy_361,F,rent,70,77.0,1.0
728,policy_361,M,dependent,17,54.0,0.0
729,policy_362,F,rent,33,37.0,1.0
730,policy_362,F,rent,72,89.0,1.0
731,policy_362,M,dependent,19,62.0,0.0
739,policy_365,F,own,80,63.0,1.0
740,policy_366,M,own,37,55.0,0.0
743,policy_368,M,own,52,76.0,0.0
744,policy_368,F,own,46,85.0,0.0
745,policy_368,M,dependent,18,47.0,0.0
746,policy_369,M,rent,40,85.0,1.0
747,policy_370,M,rent,59,64.0,1.0
748,policy_370,F,rent,30,83.0,0.0
749,policy_370,M,dependent,18,79.0,0.0
751,policy_372,M,own,51,49.0,1.0
752,policy_372,F,own,45,87.0,1.0
753,policy_372,F,dependent,19,62.0,0.0
754,policy_372,M,dependent,20,25.0,0.0
755,policy_372,F,dependent,17,59.0,0.0
760,policy_375,F,rent,59,67.0,1.0
761,policy_376,M,rent,54,44.0,1.0
762,policy_376,F,rent,55,54.0,0.0
763,policy_377,F,own,43,70.0,1.0
766,policy_379,M,own,61,13.0,1.0
767,policy_379,F,own,60,85.0,1.0
768,policy_379,F,dependent,17,68.0,0.0
775,policy_383,F,own,51,91.0,1.0
776,policy_384,M,own,57,54.0,1.0
782,policy_388,M,rent,46,96.0,0.0
788,policy_391,M,own,47,18.0,1.0
789,policy_392,F,rent,45,88.0,1.0
790,policy_393,M,own,40,55.0,1.0
791,policy_393,F,own,43,87.0,0.0
792,policy_393,M,dependent,16,82.0,0.0
793,policy_393,F,dependent,17,41.0,0.0
798,policy_396,F,own,40,72.0,1.0
799,policy_396,F,own,52,85.0,1.0
800,policy_397,F,own,35,82.0,1.0
803,policy_399,F,rent,52,72.0,1.0
804,policy_399,F,rent,59,50.0,1.0
805,policy_400,F,own,75,60.0,0.0
806,policy_400,F,own,50,78.0,1.0
807,policy_400,M,dependent,17,71.0,0.0
811,policy_403,M,own,33,90.0,1.0
812,policy_403,F,dependent,20,83.0,0.0
813,policy_403,M,dependent,17,61.0,0.0
814,policy_403,F,dependent,18,80.0,0.0
815,policy_403,F,dependent,16,80.0,0.0
826,policy_409,M,rent,66,79.0,1.0
827,policy_410,F,rent,38,40.0,1.0
828,policy_410,M,dependent,18,84.0,0.0
829,policy_410,M,dependent,20,70.0,0.0
845,policy_416,M,rent,29,79.0,1.0
846,policy_416,F,rent,76,75.0,0.0
847,policy_417,F,own,42,92.0,1.0
848,policy_418,M,own,33,93.0,0.0
849,policy_418,F,own,38,76.0,1.0
850,policy_418,M,dependent,19,74.0,0.0
852,policy_420,M,rent,35,98.0,0.0
853,policy_420,F,rent,58,63.0,1.0
854,policy_421,M,own,36,85.0,0.0
855,policy_421,M,dependent,17,53.0,0.0
856,policy_422,F,rent,50,81.0,0.0
857,policy_422,F,dependent,22,72.0,0.0
858,policy_422,M,dependent,17,71.0,0.0
859,policy_423,F,own,54,57.0,0.0
860,policy_424,F,own,48,84.0,1.0
861,policy_424,F,own,39,84.0,0.0
862,policy_424,F,dependent,18,27.0,0.0
864,policy_426,M,own,58,64.0,0.0
867,policy_428,M,own,51,72.0,1.0
868,policy_428,F,own,67,28.0,0.0
869,policy_429,F,own,51,89.0,0.0
870,policy_430,M,rent,27,83.0,1.0
871,policy_430,M,rent,47,73.0,1.0
872,policy_430,F,dependent,24,58.0,0.0
875,policy_432,F,own,55,82.0,1.0
876,policy_433,M,own,69,71.0,1.0
877,policy_433,F,own,39,82.0,0.0
878,policy_433,F,dependent,17,63.0,0.0
879,policy_434,M,rent,69,67.0,1.0
880,policy_434,M,dependent,16,81.0,0.0
884,policy_436,F,rent,54,72.0,1.0
885,policy_436,F,rent,50,98.0,1.0
886,policy_437,F,own,40,51.0,1.0
887,policy_437,F,own,75,74.0,0.0
889,policy_439,F,rent,45,86.0,1.0
890,policy_440,M,own,50,56.0,0.0
891,policy_440,F,dependent,20,57.0,0.0
892,policy_440,M,dependent,19,35.0,0.0
893,policy_441,F,own,74,53.0,1.0
894,policy_442,M,own,32,64.0,1.0
895,policy_442,F,own,78,84.0,
897,policy_444,M,own,52,64.0,1.0
898,policy_444,F,dependent,17,55.0,0.0
899,policy_445,M,own,40,67.0,1.0
900,policy_446,M,own,66,65.0,1.0
901,policy_446,F,own,49,84.0,1.0
902,policy_446,M,dependent,16,85.0,0.0
903,policy_447,F,rent,53,68.0,0.0
909,policy_450,M,own,59,87.0,0.0
910,policy_450,F,own,55,84.0,0.0
911,policy_451,M,own,52,65.0,0.0
912,policy_451,F,own,50,59.0,1.0
913,policy_452,M,own,50,90.0,0.0
914,policy_453,F,own,34,69.0,1.0
915,policy_454,F,rent,73,71.0,0.0
916,policy_454,F,rent,49,94.0,0.0
918,policy_456,F,own,62,83.0,1.0
919,policy_456,M,own,47,50.0,1.0
920,policy_456,M,dependent,18,37.0,0.0
921,policy_456,F,dependent,19,84.0,0.0
922,policy_456,M,dependent,19,54.0,0.0
923,policy_456,M,dependent,19,55.0,0.0
924,policy_457,F,rent,45,80.0,0.0
925,policy_457,F,rent,54,90.0,1.0
927,policy_459,F,dependent,16,85.0,0.0
929,policy_461,M,rent,34,74.0,0.0
930,policy_461,F,rent,69,64.0,0.0
932,policy_463,M,rent,39,62.0,0.0
933,policy_463,M,rent,53,68.0,1.0
934,policy_463,F,dependent,16,63.0,0.0
935,policy_463,M,dependent,20,39.0,
939,policy_466,M,rent,49,80.0,1.0
940,policy_466,F,dependent,17,49.0,0.0
941,policy_466,M,dependent,20,80.0,0.0
956,policy_473,F,rent,51,67.0,1.0
962,policy_475,F,rent,32,81.0,1.0
966,policy_477,M,rent,39,75.0,1.0
967,policy_477,F,rent,31,64.0,0.0
968,policy_477,F,dependent,18,69.0,0.0
969,policy_478,M,own,65,80.0,1.0
970,policy_479,M,own,38,91.0,1.0
971,policy_479,M,dependent,19,27.0,0.0
972,policy_479,M,dependent,16,63.0,0.0
976,policy_482,M,own,51,52.0,1.0
977,policy_482,F,own,56,79.0,1.0
978,policy_483,F,own,53,87.0,0.0
979,policy_483,M,own,55,59.0,0.0
980,policy_483,M,dependent,17,82.0,0.0
981,policy_484,F,own,46,91.0,1.0
982,policy_484,F,own,34,79.0,1.0
983,policy_484,M,dependent,19,54.0,0.0
984,policy_484,M,dependent,17,86.0,0.0
987,policy_486,F,own,45,87.0,0.0
988,policy_486,M,own,54,90.0,0.0
989,policy_487,F,rent,48,44.0,1.0
990,policy_487,F,rent,49,87.0,0.0
991,policy_488,M,rent,41,60.0,1.0
992,policy_489,M,rent,54,36.0,1.0
993,policy_489,F,rent,52,86.0,0.0
994,policy_489,F,dependent,18,64.0,0.0
995,policy_490,F,rent,41,71.0,1.0
996,policy_490,F,rent,41,96.0,1.0
997,policy_491,M,rent,44,81.0,0.0
998,policy_491,F,rent,40,87.0,1.0
999,policy_492,M,own,37,84.0,1.0
1000,policy_492,F,own,58,62.0,0.0
1001,policy_492,F,dependent,17,65.0,0.0
1003,policy_494,M,own,64,84.0,0.0
1004,policy_494,F,own,57,84.0,1.0
1005,policy_495,F,rent,65,83.0,0.0
1006,policy_495,F,dependent,16,75.0,0.0
1009,policy_497,M,own,70,77.0,1.0
1010,policy_497,M,own,62,95.0,1.0
1013,policy_499,F,dependent,16,79.0,0.0
1014,policy_500,M,rent,65,70.0,1.0
1015,policy_500,F,rent,43,66.0,0.0
1016,policy_501,M,rent,48,78.0,1.0
1017,policy_501,F,dependent,17,70.0,0.0
1018,policy_502,M,rent,49,72.0,0.0
1019,policy_502,F,dependent,18,56.0,0.0
1020,policy_502,M,dependent,18,85.0,0.0
1021,policy_502,F,dependent,20,32.0,0.0
1022,policy_502,F,dependent,17,55.0,0.0
1023,policy_502,M,dependent,16,15.0,0.0
1024,policy_503,M,rent,78,75.0,0.0
1025,policy_503,F,rent,52,93.0,1.0
1027,policy_505,M,own,78,77.0,1.0
1028,policy_505,M,own,53,66.0,0.0
1029,policy_506,F,own,37,97.0,0.0
1030,policy_506,F,own,57,81.0,0.0
1031,policy_506,F,dependent,18,63.0,0.0
1036,policy_509,M,own,49,67.0,1.0
1043,policy_512,M,rent,49,84.0,1.0
1052,policy_515,F,rent,59,72.0,0.0
1059,policy_518,M,own,67,83.0,1.0
1060,policy_518,M,dependent,17,51.0,0.0
1061,policy_518,F,dependent,17,71.0,0.0
1067,policy_521,M,rent,37,83.0,1.0
1068,policy_521,F,rent,56,67.0,0.0
1069,policy_521,F,dependent,21,76.0,1.0
1070,policy_521,F,dependent,18,57.0,0.0
1071,policy_522,M,rent,31,81.0,0.0
1072,policy_523,M,own,50,81.0,1.0
1078,policy_526,M,own,52,81.0,1.0
1079,policy_526,F,own,68,43.0,0.0
1080,policy_527,M,rent,75,78.0,0.0
1081,policy_527,F,dependent,16,81.0,0.0
1082,policy_527,F,dependent,17,63.0,0.0
1089,policy_531,M,rent,57,86.0,1.0
1090,policy_531,F,rent,30,74.0,1.0
1092,policy_533,M,own,75,46.0,1.0
1093,policy_533,F,own,27,59.0,1.0
1095,policy_535,M,own,57,69.0,1.0
1096,policy_535,F,own,62,77.0,1.0
1097,policy_535,F,dependent,17,75.0,0.0
1098,policy_535,M,dependent,16,74.0,0.0
1099,policy_536,M,rent,48,63.0,0.0
1100,policy_537,F,own,60,74.0,0.0
1101,policy_537,F,own,50,80.0,0.0
1106,policy_540,F,rent,57,81.0,1.0
1107,policy_540,F,dependent,18,81.0,0.0
1108,policy_540,M,dependent,16,66.0,0.0
1110,policy_542,M,rent,54,77.0,0.0
1117,policy_545,M,own,55,85.0,0.0
1118,policy_545,M,own,46,71.0,0.0
1119,policy_546,M,rent,64,88.0,0.0
1120,policy_546,F,rent,47,76.0,1.0
1121,policy_547,M,own,46,93.0,1.0
1122,policy_547,F,own,62,69.0,1.0
1123,policy_548,F,own,46,75.0,0.0
1124,policy_548,F,own,47,87.0,0.0
1127,policy_550,M,own,60,98.0,0.0
1128,policy_550,F,own,45,87.0,1.0
1133,policy_553,M,own,54,92.0,1.0
1134,policy_554,M,own,44,78.0,1.0
1135,policy_554,F,dependent,20,77.0,0.0
1136,policy_554,F,dependent,17,87.0,0.0
1139,policy_557,F,rent,36,82.0,0.0
1140,policy_557,F,rent,49,24.0,1.0
1143,policy_559,M,rent,47,88.0,1.0
1144,policy_559,F,dependent,19,41.0,0.0
1145,policy_559,F,dependent,17,89.0,0.0
1146,policy_560,F,own,51,81.0,1.0
1147,policy_560,F,own,48,58.0,1.0
