policy_id,discount,Home_policy_ind,quoted_amt,credit_score,Cov_package_type,CAT_zone,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,total_number_veh,convert_ind,primary_parking,Quote_dt_2015,Quote_dt_2016,Quote_dt_2017,Quote_dt_2018,state_id_midwest,state_id_northeast,state_id_southeast,Prior_carrier_grp_Carrier_1,Prior_carrier_grp_Carrier_2,Prior_carrier_grp_Carrier_3,Prior_carrier_grp_Carrier_4,Prior_carrier_grp_Carrier_5,Prior_carrier_grp_Carrier_6,Prior_carrier_grp_Carrier_7,Prior_carrier_grp_Carrier_8,Prior_carrier_grp_Other
policy_96634,0,0,10345.0,1,3,4,1,0,3,0,3,0.0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
policy_27458,0,0,1152.0,3,2,1,3,3,2,1,6,0.0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
policy_8636,0,0,3300.0,2,2,3,2,2,1,1,4,1.0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
policy_8387,0,0,7045.0,1,3,1,1,0,2,0,2,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
policy_5799,0,0,4958.0,2,2,3,3,2,1,0,3,1.0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
policy_58093,1,1,5629.0,2,1,1,2,2,3,0,5,1.0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
policy_92185,0,0,5097.0,1,3,1,1,2,1,1,4,1.0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_86061,0,0,9445.0,1,3,5,5,0,1,2,3,1.0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
policy_2378,0,0,1870.0,4,3,4,1,3,1,0,4,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
policy_99861,0,0,6763.0,1,2,5,6,0,2,0,2,0.0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
policy_57184,0,0,2647.0,2,2,2,1,1,1,0,2,0.0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_95133,0,0,4870.0,2,3,5,3,0,2,1,3,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_97513,1,1,21856.0,1,1,2,1,3,1,1,5,0.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
policy_34625,0,0,5035.0,2,1,1,4,1,3,0,4,0.0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
policy_57287,0,0,3938.0,2,2,2,2,2,2,0,4,1.0,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_97893,0,0,17390.0,1,3,5,3,2,2,0,4,0.0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
policy_10860,0,0,2517.0,3,3,5,1,1,3,0,4,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
policy_251,1,1,24143.0,1,3,5,2,0,1,1,2,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
policy_53493,0,0,5532.0,1,2,3,3,1,3,1,5,0.0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_97727,0,0,10533.0,1,2,4,3,2,2,1,5,0.0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
policy_92331,0,0,3081.0,1,2,2,3,1,1,0,2,0.0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
policy_99129,0,0,19429.0,1,3,5,3,2,1,0,3,0.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
policy_79513,1,1,3952.0,2,1,2,3,2,2,0,4,0.0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
policy_4979,0,0,3961.0,2,3,4,2,1,2,1,4,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
policy_93075,0,0,4693.0,1,3,5,1,1,1,0,2,0.0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_51853,0,0,1749.0,4,1,1,1,2,1,0,3,0.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
policy_90834,1,1,2008.0,1,2,2,1,1,2,0,3,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_16476,1,1,2629.0,2,1,2,1,1,2,1,4,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
policy_38329,0,0,1453.0,4,1,1,3,1,2,2,5,0.0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
policy_776,1,0,8291.0,1,1,2,6,2,1,1,4,0.0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
policy_80408,0,0,13867.0,2,3,5,2,2,2,2,6,0.0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_38820,0,0,1180.0,4,1,2,2,1,3,0,4,0.0,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
policy_78210,0,0,9557.0,1,2,4,5,2,1,1,4,0.0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
policy_6272,0,0,1662.0,4,2,2,2,3,3,1,7,0.0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
policy_21608,1,1,2244.0,2,1,1,3,0,1,1,2,0.0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
policy_79913,0,0,6656.0,1,3,4,1,1,1,0,2,0.0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
policy_11580,0,0,4514.0,1,3,5,1,1,1,0,2,0.0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
policy_9009,0,0,2966.0,2,2,3,1,1,1,0,2,1.0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
policy_24778,0,0,2489.0,2,2,2,2,1,1,1,3,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
policy_5937,0,0,2765.0,3,2,1,5,3,1,1,5,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
policy_14822,0,0,1005.0,4,2,2,1,1,2,0,3,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
policy_39801,0,0,1714.0,2,2,2,1,2,1,0,3,1.0,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
policy_79388,0,0,4687.0,2,2,1,2,1,3,0,4,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
policy_74588,0,0,1461.0,2,1,1,3,3,2,1,6,0.0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_39740,0,0,2909.0,2,1,2,2,2,1,0,3,0.0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
policy_54070,0,0,863.0,4,2,3,3,2,2,1,5,0.0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_58625,0,0,2169.0,3,2,1,3,1,3,0,4,0.0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
policy_35247,0,0,1162.0,4,2,5,2,2,1,1,4,0.0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
policy_41041,0,0,2913.0,2,1,1,3,3,1,0,4,0.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
policy_51100,1,1,1943.0,4,1,2,2,1,2,0,3,0.0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
policy_96748,0,0,28906.0,1,2,5,3,0,1,0,1,0.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
policy_20629,0,0,1966.0,4,1,4,1,1,1,0,2,0.0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
policy_54087,1,1,1487.0,4,1,3,2,2,1,0,3,0.0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_99672,0,0,14186.0,1,3,2,1,0,1,0,1,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
policy_32055,1,1,38069.0,1,3,5,1,2,3,0,5,0.0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
policy_75857,0,0,4064.0,2,2,4,2,1,2,0,3,0.0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_874,0,0,13626.0,1,3,5,3,2,3,1,6,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
policy_62542,0,0,2620.0,2,2,3,2,3,2,1,6,0.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_21504,0,0,2914.0,1,1,1,3,0,2,2,4,0.0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
policy_43380,1,0,195.0,4,2,1,3,0,1,1,2,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_53517,0,0,4206.0,1,2,3,4,2,2,0,4,0.0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_5880,1,1,1755.0,4,1,2,2,0,1,1,2,0.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
policy_94864,1,0,4101.0,3,3,2,1,2,2,0,4,0.0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
policy_8146,0,0,3124.0,2,1,2,2,3,2,0,5,0.0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
policy_72065,0,0,1540.0,4,1,2,5,3,2,1,6,0.0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_78005,0,0,8070.0,1,3,2,2,1,3,2,6,1.0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
policy_52460,0,0,4062.0,2,2,2,5,1,1,0,2,0.0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_77068,0,0,9047.0,1,3,5,2,2,1,1,4,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
policy_69444,0,0,4626.0,2,1,3,2,0,3,1,4,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_90594,0,0,4730.0,1,2,5,3,1,1,0,2,0.0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_22437,0,0,1754.0,3,1,1,2,0,1,0,1,1.0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
policy_57925,0,0,3279.0,2,1,1,1,2,1,0,3,0.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_75046,0,0,2141.0,2,2,3,1,2,1,0,3,0.0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_71583,0,0,5485.0,2,3,5,2,1,1,0,2,0.0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_65587,0,0,6044.0,1,3,1,2,0,1,0,1,0.0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
policy_7148,0,0,4024.0,2,3,4,1,1,2,2,5,1.0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
policy_25716,0,0,5321.0,2,2,3,2,2,1,0,3,0.0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
policy_38568,0,0,851.0,4,3,5,6,1,2,1,4,0.0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
policy_93865,0,0,7888.0,1,3,4,1,1,1,2,4,0.0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_60323,0,0,1313.0,4,1,2,2,3,2,1,6,0.0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_40754,0,0,2017.0,3,1,2,2,2,1,1,4,1.0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_78256,0,0,4993.0,2,3,5,2,1,2,0,3,0.0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_68532,1,0,4405.0,1,2,2,2,2,1,2,5,0.0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_87087,0,0,3139.0,2,2,2,2,1,2,1,4,1.0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_99318,1,1,1844.0,3,2,2,5,2,1,0,3,0.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
policy_26535,0,0,3710.0,3,2,1,1,0,1,1,2,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
policy_29118,1,0,6829.0,1,2,3,1,1,1,1,3,0.0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
policy_75272,0,0,5255.0,2,2,3,2,1,1,1,3,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
policy_11559,1,1,5176.0,2,2,4,1,2,1,0,3,0.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
policy_50658,0,0,2009.0,2,2,4,4,2,1,0,3,0.0,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
policy_43341,0,0,1802.0,4,1,1,3,3,3,0,6,0.0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_26664,1,0,2155.0,1,1,2,1,1,1,0,2,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
policy_51856,1,1,1031.0,4,2,3,4,1,1,1,3,0.0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
policy_94978,0,0,4221.0,2,2,3,1,1,1,1,3,1.0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_52803,0,0,3538.0,4,1,1,2,2,1,0,3,0.0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_57956,0,0,3625.0,3,2,1,2,2,2,0,4,0.0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_65061,0,0,5720.0,2,3,1,1,0,3,0,3,0.0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
